# Last Sanctuary 스트링 테이블 — Tools/gen_string_table.py 가 생성한다. 직접 고치지 말 것.
# 원본: 데이터 테이블/스트링 키 테이블.xlsx
string_key	kr	en	es	fr	de	ja	ru	pt	pl
help_relic_dig_title	묻힌 것을 파내다	Digging Up What's Buried	Desenterrar lo que yace oculto	Déterrer ce qui gît enfoui	Ausgraben, was vergraben liegt	埋もれたものを掘り出す	Раскопать погребённое	Desenterrar o que jaz oculto	Odkopywanie tego, co zagrzebane
help_relic_dig_summary	땅에 주황빛 <b>느낌표</b>가 떴습니다. 뭔가 묻혀 있는 자리입니다.\n느낌표를 눌러 동료를 보내세요.	An orange <b>exclamation mark</b> has appeared on the ground. Something is buried there.\nTap the exclamation mark to send an ally.	Ha aparecido una <b>exclamación</b> anaranjada en el suelo. Ahí hay algo enterrado.\nPulsa la exclamación para enviar a un aliado.	Un <b>point d'exclamation</b> orangé est apparu au sol. Quelque chose y est enterré.\nAppuyez sur le point d'exclamation pour y envoyer un allié.	Ein oranges <b>Ausrufezeichen</b> ist auf dem Boden erschienen. Dort liegt etwas vergraben.\nDrücke auf das Ausrufezeichen, um einen Verbündeten zu schicken.	地面に橙色の<b>感嘆符</b>が現れました。何かが埋まっている場所です。\n感嘆符を押して仲間を送ってください。	На земле возник оранжевый <b>восклицательный знак</b>. Там что-то закопано.\nНажмите на знак, чтобы отправить союзника.	Surgiu uma <b>exclamação</b> alaranjada no chão. Ali há algo enterrado.\nCarrega na exclamação para enviar um aliado.	Na ziemi pojawił się pomarańczowy <b>wykrzyknik</b>. Tam coś jest zakopane.\nNaciśnij wykrzyknik, by wysłać sojusznika.
help_relic_dig_body	파낼 수 있는 자리는 동료 시야에 들어오면 느낌표로 뜹니다.\n느낌표를 누르면 창이 열립니다. 파낼지 그냥 둘지 고르면 됩니다.\n파러 간 동료는 그동안 자리를 비웁니다. 정비 시간에 해 두는 편이 안전합니다.\n무엇이 나올지는 파낸 뒤에 정해집니다. 에너지나 유물이 나오고, 손해를 볼 때도 있습니다.\n다 파내면 느낌표는 사라집니다. 강적과 사나운 짐승도 유물을 남깁니다.	A diggable spot shows as an exclamation mark once it enters an ally's sight range.\nTapping the exclamation mark opens a window where you can choose to dig or leave it.\nThe ally sent to dig will be away from their post for a while, so it's safer to do this during Prep time.\nWhat you get is decided after the dig. You may find Energy or Relics, and sometimes you may come up short.\nOnce fully excavated, the exclamation mark disappears. Powerful foes and fierce beasts also leave Relics behind.	Los lugares excavables aparecen como exclamación en cuanto entran en el campo de visión de un aliado.\nAl pulsar la exclamación se abre una ventana. Solo tienes que elegir si excavar o dejarlo.\nEl aliado que va a excavar deja su puesto mientras tanto. Es más seguro hacerlo en tiempo de preparación.\nQué saldrá se decide después de excavar. Puede salir energía o reliquias, y a veces se sale perdiendo.\nCuando termina la excavación, la exclamación desaparece. Los enemigos poderosos y las bestias feroces también dejan reliquias.	Les endroits fouillables s'affichent en point d'exclamation dès qu'ils entrent dans le champ de vision d'un allié.\nAppuyer sur le point d'exclamation ouvre une fenêtre. Il suffit de choisir entre fouiller ou laisser.\nL'allié parti fouiller quitte son poste pendant ce temps. Mieux vaut le faire pendant la préparation.\nCe qui en sortira se décide après la fouille. On peut trouver de l'énergie ou des reliques, et parfois on y perd.\nUne fois la fouille terminée, le point d'exclamation disparaît. Les ennemis puissants et les bêtes féroces laissent aussi des reliques.	Grabbare Stellen erscheinen als Ausrufezeichen, sobald sie ins Sichtfeld eines Verbündeten geraten.\nDrückst du auf das Ausrufezeichen, öffnet sich ein Fenster. Du wählst nur, ob gegraben oder gelassen wird.\nDer zum Graben geschickte Verbündete verlässt derweil seinen Posten. Sicherer ist es in der Vorbereitungszeit.\nWas herauskommt, entscheidet sich nach dem Graben. Es kann Energie oder Relikte geben, manchmal macht man auch Verlust.\nIst alles ausgegraben, verschwindet das Ausrufezeichen. Auch mächtige Feinde und wilde Bestien hinterlassen Relikte.	掘り出せる場所は、仲間の視界に入ると感嘆符として現れます。\n感嘆符を押すと窓が開きます。掘るか、そのままにするかを選べばよいだけです。\n掘りに行った仲間は、その間 持ち場を空けます。整備の時間にやっておくほうが安全です。\n何が出るかは掘った後に決まります。エネルギーや遺物が出たり、損をすることもあります。\n掘り終えれば感嘆符は消えます。強敵や獰猛な獣も遺物を残します。	Места, пригодные для раскопок, показываются восклицательным знаком, как только попадают в поле зрения союзника.\nНажатие на знак открывает окно. Нужно лишь выбрать: копать или оставить.\nОтправленный копать союзник на это время покидает свой пост. Безопаснее делать это в подготовку.\nЧто выпадет — решается после раскопок. Может выпасть энергия или реликвии, а иногда выходит и в убыток.\nКогда всё выкопано, знак исчезает. Сильные враги и свирепые звери тоже оставляют реликвии.	Os locais escaváveis aparecem como exclamação assim que entram no campo de visão de um aliado.\nAo carregar na exclamação abre-se uma janela. Basta escolher se escavas ou deixas.\nO aliado que vai escavar deixa o seu posto entretanto. É mais seguro fazê-lo em tempo de preparação.\nO que sairá decide-se depois de escavar. Pode sair energia ou relíquias, e por vezes fica-se a perder.\nQuando a escavação termina, a exclamação desaparece. Os inimigos poderosos e as feras ferozes também deixam relíquias.	Miejsca do rozkopania pokazują się jako wykrzyknik, gdy tylko wejdą w pole widzenia sojusznika.\nNaciśnięcie wykrzyknika otwiera okno. Wystarczy wybrać, czy kopać, czy zostawić.\nSojusznik wysłany do kopania opuszcza na ten czas swój posterunek. Bezpieczniej zrobić to w czasie przygotowań.\nCo wypadnie, rozstrzyga się po wykopaniu. Może wypaść energia lub relikwie, a czasem wychodzi się na stracie.\nGdy wykop się skończy, wykrzyknik znika. Potężni wrogowie i dzikie bestie także zostawiają relikwie.
help_relic_equip_title	유물 지니기	Equipping Relics	Portar reliquias	Porter des reliques	Relikte tragen	遺物を持つ	Ношение реликвий	Portar relíquias	Noszenie relikwii
help_relic_equip_summary	유물을 얻었습니다. 동료가 지녀야 효과가 생깁니다.\n오른쪽 버튼 묶음의 <b>유물 관리</b>에서 끼웁니다.	You obtained a Relic. An ally must equip it for its effect to apply.\nEquip it from <b>Relic Management</b> in the button group on the right.	Has obtenido una reliquia. Solo surte efecto si la porta un aliado.\nSe equipa desde <b>Gestión de reliquias</b>, en el grupo de botones de la derecha.	Vous avez obtenu une relique. Elle n'a d'effet que si un allié la porte.\nElle s'équipe depuis <b>Gestion des reliques</b>, dans le groupe de boutons de droite.	Du hast ein Relikt erhalten. Es wirkt nur, wenn ein Verbündeter es trägt.\nAusgerüstet wird es unter <b>Reliktverwaltung</b> in der Schaltflächengruppe rechts.	遺物を手に入れました。仲間が持ってこそ効果が生まれます。\n右のボタン群の<b>遺物管理</b>で装着します。	Вы получили реликвию. Она действует, только если её носит союзник.\nНадеть её можно в <b>Управлении реликвиями</b> в группе кнопок справа.	Obtiveste uma relíquia. Só faz efeito se um aliado a portar.\nEquipa-se em <b>Gestão de relíquias</b>, no grupo de botões da direita.	Zdobyłeś relikwię. Działa tylko wtedy, gdy nosi ją sojusznik.\nZakłada się ją w <b>Zarządzaniu relikwiami</b> w grupie przycisków po prawej.
help_relic_equip_body	유물 관리 창에서 유물을 고른 뒤, 끼울 동료를 왼쪽 로스터에서 고릅니다.\n성장 창 아래에서도 지금 낀 유물을 보고 바꿀 수 있습니다.\n등급은 일반, 레어, 에픽 순으로 좋아지고 그만큼 드물게 나옵니다.\n유물을 낀 동료가 쓰러지면 그 유물도 같이 잃습니다.	In the Relic Management window, choose a Relic, then choose which ally to equip it on from the roster on the left.\nYou can also view and swap currently equipped Relics from below the growth window.\nRarity improves in order from Common, to Rare, to Epic, and rarer Relics appear less often.\nIf an ally wearing a Relic falls, that Relic is lost along with them.	En la ventana de gestión de reliquias, elige una reliquia y luego elige en la lista de la izquierda al aliado que la llevará.\nTambién puedes ver y cambiar las reliquias puestas desde debajo de la ventana de crecimiento.\nLa calidad mejora en el orden común, rara y épica, y cuanto mejor, más raro es que salga.\nSi cae un aliado que lleva una reliquia, esa reliquia se pierde con él.	Dans la fenêtre de gestion des reliques, choisissez une relique, puis l'allié qui la portera dans la liste de gauche.\nVous pouvez aussi voir et échanger les reliques portées sous la fenêtre de croissance.\nLa qualité s'améliore dans l'ordre commune, rare, épique, et plus elle est bonne, plus elle est rare.\nSi un allié portant une relique tombe, cette relique est perdue avec lui.	Wähle im Reliktverwaltungsfenster ein Relikt und dann in der Übersicht links den Verbündeten, der es tragen soll.\nAuch unterhalb des Wachstumsfensters kannst du die getragenen Relikte ansehen und tauschen.\nDie Güte steigt in der Reihenfolge gewöhnlich, selten, episch, und je besser, desto seltener kommt sie vor.\nFällt ein Verbündeter, der ein Relikt trägt, geht dieses Relikt mit ihm verloren.	遺物管理の窓で遺物を選んだ後、装着する仲間を左のロスターから選びます。\n成長の窓の下からも、今つけている遺物を見て入れ替えることができます。\n等級は一般・レア・エピックの順で良くなり、その分だけ稀にしか出ません。\n遺物をつけた仲間が倒れると、その遺物も一緒に失います。	В окне управления реликвиями выберите реликвию, а затем в списке слева — союзника, который её наденет.\nНадетые реликвии можно посмотреть и поменять и под окном роста.\nКачество растёт в порядке: обычная, редкая, эпическая, — и тем реже она выпадает.\nЕсли союзник с реликвией падёт, эта реликвия пропадёт вместе с ним.	Na janela de gestão de relíquias, escolhe uma relíquia e depois escolhe na lista da esquerda o aliado que a levará.\nTambém podes ver e trocar as relíquias postas por baixo da janela de crescimento.\nA qualidade melhora na ordem comum, rara e épica, e quanto melhor, mais raramente sai.\nSe cair um aliado que leva uma relíquia, essa relíquia perde-se com ele.	W oknie zarządzania relikwiami wybierz relikwię, a potem z listy po lewej wybierz sojusznika, który ją założy.\nZałożone relikwie możesz też obejrzeć i wymienić pod oknem rozwoju.\nJakość rośnie w kolejności zwykła, rzadka, epicka, a im lepsza, tym rzadziej wypada.\nJeśli padnie sojusznik noszący relikwię, ta relikwia przepada wraz z nim.
help_squad_title	부대 편성	Forming Squads	Formar escuadrones	Former des escouades	Trupps aufstellen	部隊編成	Формирование отрядов	Formar esquadrões	Tworzenie oddziałów
help_squad_summary	여럿을 한 <b>부대</b>로 묶으면 함께 움직입니다.\n혼자 떨어져 죽는 일을 막는 가장 쉬운 방법입니다.	Group several allies into a <b>Squad</b> and they'll move together.\nIt's the easiest way to keep someone from dying alone, isolated from the group.	Si agrupas a varios en un <b>escuadrón</b>, se mueven juntos.\nEs la forma más fácil de evitar que alguien muera solo, apartado del grupo.	Si vous regroupez plusieurs alliés en une <b>escouade</b>, ils se déplacent ensemble.\nC'est le moyen le plus simple d'éviter qu'un allié meure seul, isolé du groupe.	Fasst du mehrere zu einem <b>Trupp</b> zusammen, ziehen sie gemeinsam los.\nDas ist der einfachste Weg zu verhindern, dass jemand allein und abgeschnitten stirbt.	何人かを一つの<b>部隊</b>にまとめれば、一緒に動きます。\n一人だけ離れて死ぬことを防ぐ、いちばん簡単な方法です。	Если объединить нескольких в один <b>отряд</b>, они двигаются вместе.\nЭто самый простой способ не дать кому-то погибнуть в одиночку, оторвавшись от группы.	Se agrupares vários num <b>esquadrão</b>, movem-se juntos.\nÉ a forma mais fácil de evitar que alguém morra sozinho, afastado do grupo.	Jeśli zgrupujesz kilku w jeden <b>oddział</b>, ruszają razem.\nTo najprostszy sposób, by ktoś nie zginął sam, odcięty od grupy.
help_squad_body	오른쪽 버튼 묶음의 <b>부대 설정</b>에서 부대를 만듭니다.\n만든 뒤 왼쪽 로스터에서 동료를 눌러 배정합니다.\n같은 부대에 든 사람들은 함께 다니고 함께 사냥합니다.\n부대마다 색이 정해집니다. 로스터의 테두리가 그 색으로 묶이고, 이름도 고칠 수 있습니다.	Create a squad from <b>Squad Settings</b> in the button group on the right.\nOnce created, tap allies in the roster on the left to assign them to it.\nMembers of the same squad travel together and hunt together.\nEach squad is assigned a color. The roster's border is tinted with that color, and you can also rename the squad.	Crea un escuadrón desde <b>Configuración de escuadrones</b>, en el grupo de botones de la derecha.\nUna vez creado, pulsa a los aliados en la lista de la izquierda para asignarlos.\nQuienes están en el mismo escuadrón van juntos y cazan juntos.\nCada escuadrón tiene un color asignado. El borde de la lista se tiñe de ese color, y el nombre también se puede cambiar.	Créez une escouade depuis <b>Réglages d'escouade</b>, dans le groupe de boutons de droite.\nUne fois créée, appuyez sur les alliés dans la liste de gauche pour les y affecter.\nCeux d'une même escouade se déplacent ensemble et chassent ensemble.\nChaque escouade reçoit une couleur. Le contour de la liste prend cette couleur, et le nom se modifie aussi.	Erstelle einen Trupp unter <b>Truppeinstellungen</b> in der Schaltflächengruppe rechts.\nDrücke danach in der Übersicht links auf Verbündete, um sie zuzuweisen.\nWer im selben Trupp ist, zieht zusammen los und jagt zusammen.\nJedem Trupp wird eine Farbe zugewiesen. Der Rand der Übersicht wird in dieser Farbe eingefasst, und der Name lässt sich ändern.	右のボタン群の<b>部隊設定</b>で部隊を作ります。\n作った後、左のロスターで仲間を押して配属します。\n同じ部隊に入った者たちは、一緒に動き、一緒に狩ります。\n部隊ごとに色が決まります。ロスターの縁がその色でまとめられ、名前も直せます。	Создайте отряд в <b>Настройках отряда</b> в группе кнопок справа.\nПосле создания нажимайте на союзников в списке слева, чтобы назначить их туда.\nТе, кто в одном отряде, ходят вместе и охотятся вместе.\nКаждому отряду задаётся цвет. Рамка списка окрашивается в этот цвет, и название тоже можно изменить.	Cria um esquadrão em <b>Configuração de esquadrões</b>, no grupo de botões da direita.\nUma vez criado, carrega nos aliados da lista da esquerda para os atribuir.\nOs que estão no mesmo esquadrão andam juntos e caçam juntos.\nCada esquadrão tem uma cor atribuída. A borda da lista fica com essa cor, e o nome também se pode mudar.	Utwórz oddział w <b>Ustawieniach oddziałów</b> w grupie przycisków po prawej.\nPo utworzeniu naciskaj sojuszników na liście po lewej, by ich przypisać.\nCi z jednego oddziału chodzą razem i razem polują.\nKażdy oddział ma przypisany kolor. Obramowanie listy przyjmuje ten kolor, a nazwę też można zmienić.
help_rally_title	자리 맡기기	Holding a Position	Tomar posición	Tenir une position	Eine Stellung halten	持ち場を受け持つ	Занять позицию	Tomar posição	Obsadzanie pozycji
help_rally_summary	<b>집결지</b>를 찍으면 그 부대가 그 자리를 맡아 지킵니다.\n깃발을 잠깐 누른 채 끌면 자리가 옮겨집니다.	Set a <b>Rally Point</b> and that squad will hold and defend that position.\nPress and briefly drag the flag to move its location.	Si marcas un <b>punto de reunión</b>, ese escuadrón se hace cargo de ese lugar y lo defiende.\nMantén pulsada la bandera un momento y arrástrala para cambiar el lugar.	Si vous placez un <b>point de ralliement</b>, cette escouade prend en charge ce lieu et le défend.\nMaintenez brièvement le drapeau et faites-le glisser pour déplacer l'emplacement.	Setzt du einen <b>Sammelpunkt</b>, übernimmt dieser Trupp jene Stelle und verteidigt sie.\nHalte die Fahne kurz gedrückt und ziehe sie, um den Ort zu verschieben.	<b>集結地</b>を打てば、その部隊がその場所を受け持って守ります。\n旗を少し押したまま引けば、場所が移ります。	Если поставить <b>точку сбора</b>, этот отряд возьмёт то место на себя и будет его оборонять.\nЗажмите флаг на мгновение и потяните, чтобы перенести место.	Se marcares um <b>ponto de reunião</b>, esse esquadrão encarrega-se desse lugar e defende-o.\nMantém a bandeira premida um instante e arrasta-a para mudar o lugar.	Jeśli postawisz <b>punkt zbiórki</b>, ten oddział weźmie to miejsce na siebie i będzie go bronił.\nPrzytrzymaj chwilę chorągiew i przeciągnij, by przenieść miejsce.
help_rally_body	부대 설정 창의 부대 칸에서 집결지 만들기를 누르고, 땅에서 자리를 정합니다.\n깃발을 누르면 그 부대가 맡은 범위가 테두리로 보입니다.\n집결지가 있는 부대는 그 자리를 중심으로 싸웁니다. 없으면 중앙으로 돌아옵니다.\n언제든 거둘 수 있고, 저장할 때 같이 저장됩니다.	In the squad panel of the Squad Settings window, press Create Rally Point, then choose a spot on the ground.\nTapping the flag shows the area that squad is responsible for as an outlined border.\nA squad with a Rally Point fights centered on that spot. Without one, they return to the Nexus.\nYou can remove it at any time, and it's saved along with your save file.	En la casilla del escuadrón, en la ventana de configuración, pulsa Crear punto de reunión y luego fija el lugar en el terreno.\nAl pulsar la bandera se ve con un borde el área de la que se hace cargo ese escuadrón.\nUn escuadrón con punto de reunión combate en torno a ese lugar. Sin él, vuelve al centro.\nPuedes retirarlo cuando quieras, y se guarda junto con la partida.	Dans la case de l'escouade, dans la fenêtre de réglages, appuyez sur Créer un point de ralliement, puis fixez l'emplacement sur le terrain.\nAppuyer sur le drapeau fait apparaître, cerclée d'un contour, la zone dont cette escouade a la charge.\nUne escouade dotée d'un point de ralliement combat autour de ce lieu. Sans lui, elle revient au centre.\nVous pouvez le retirer à tout moment, et il est enregistré avec la sauvegarde.	Drücke im Truppfeld des Einstellungsfensters auf Sammelpunkt erstellen und lege dann die Stelle auf dem Boden fest.\nDrückst du auf die Fahne, erscheint der Bereich, für den dieser Trupp zuständig ist, als Umrandung.\nEin Trupp mit Sammelpunkt kämpft um diese Stelle herum. Ohne ihn kehrt er in die Mitte zurück.\nDu kannst ihn jederzeit einziehen, und er wird mit dem Spielstand gespeichert.	部隊設定の窓の部隊欄で集結地作成を押し、地面で場所を決めます。\n旗を押せば、その部隊が受け持つ範囲が縁取りで見えます。\n集結地がある部隊は、その場所を中心に戦います。なければ中央に戻ります。\nいつでも収めることができ、保存するときに一緒に保存されます。	В графе отряда в окне настроек нажмите «Создать точку сбора» и укажите место на земле.\nПри нажатии на флаг область, за которую отвечает этот отряд, обводится контуром.\nОтряд с точкой сбора сражается вокруг того места. Без неё он возвращается к центру.\nЕё можно убрать в любой момент, и она сохраняется вместе с игрой.	Na casa do esquadrão, na janela de configuração, carrega em Criar ponto de reunião e depois fixa o lugar no terreno.\nAo carregar na bandeira, vê-se com um contorno a área de que esse esquadrão se encarrega.\nUm esquadrão com ponto de reunião combate em torno desse lugar. Sem ele, volta ao centro.\nPodes retirá-lo quando quiseres, e fica guardado juntamente com o jogo.	W polu oddziału w oknie ustawień naciśnij Utwórz punkt zbiórki, a potem wskaż miejsce na ziemi.\nPo naciśnięciu chorągwi obszar, za który ten oddział odpowiada, pokazuje się obwódką.\nOddział z punktem zbiórki walczy wokół tego miejsca. Bez niego wraca do środka.\nMożesz go zdjąć w każdej chwili, a zapisuje się razem z grą.
help_tactics_title	전술 지침	Tactical Orders	Órdenes tácticas	Ordres tactiques	Taktische Befehle	戦術指針	Тактические приказы	Ordens táticas	Rozkazy taktyczne
help_tactics_summary	동료마다 <b>전방, 중위, 후방</b> 중 어디에 설지 정할 수 있습니다.\n오른쪽 버튼 묶음의 <b>전술 지침</b>에서 바꿉니다.	Each ally can be set to hold the <b>Front, Mid, or Back</b> line.\nChange this from <b>Tactics</b> in the button group on the right.	Para cada aliado puedes decidir si se sitúa en <b>vanguardia, centro o retaguardia</b>.\nSe cambia desde <b>Directivas tácticas</b>, en el grupo de botones de la derecha.	Pour chaque allié, vous pouvez décider s'il se place à l'<b>avant, au milieu ou à l'arrière</b>.\nCela se change depuis <b>Directives tactiques</b>, dans le groupe de boutons de droite.	Für jeden Verbündeten kannst du festlegen, ob er <b>vorne, in der Mitte oder hinten</b> steht.\nGeändert wird das unter <b>Taktische Direktiven</b> in der Schaltflächengruppe rechts.	仲間ごとに<b>前衛・中衛・後衛</b>のどこに立つかを決められます。\n右のボタン群の<b>戦術指針</b>で変えます。	Для каждого союзника можно задать, где он встанет: <b>на передовой, в центре или в тылу</b>.\nМеняется это в <b>Тактических директивах</b> в группе кнопок справа.	Para cada aliado podes decidir se fica na <b>frente, no meio ou na retaguarda</b>.\nMuda-se em <b>Diretrizes táticas</b>, no grupo de botões da direita.	Dla każdego sojusznika możesz ustalić, czy staje <b>z przodu, w środku czy z tyłu</b>.\nZmienia się to w <b>Dyrektywach taktycznych</b> w grupie przycisków po prawej.
help_tactics_body	<b>전방</b>은 앞에 서서 적을 직접 받아냅니다.\n<b>중위</b>는 조금 뒤에서 앞줄을 돕습니다.\n<b>후방</b>은 사거리 끝에서 싸웁니다. 원거리와 회복 역할에 맞습니다.\n중위와 후방도 제 구역에서 싸움이 붙으면 사거리 안까지는 다가갑니다.\n한 번 붙은 적과는 끝까지 겨룹니다. 제자리로 돌아가 맴돌지 않습니다.	<b>Front</b> line units stand up front and take enemy attacks directly.\n<b>Mid</b> line units stay a bit further back, supporting the front line.\n<b>Back</b> line units fight from maximum range. This suits Ranged and Healer roles.\nEven Mid and Back line units will advance into range if a fight breaks out in their area.\nOnce engaged with an enemy, they see it through to the end rather than retreating back to position and circling.	La <b>vanguardia</b> se pone delante y encaja a los enemigos de frente.\nEl <b>centro</b> se queda algo más atrás y apoya a la primera línea.\nLa <b>retaguardia</b> combate al límite de su alcance. Encaja con los papeles a distancia y de curación.\nEl centro y la retaguardia también se acercan hasta tenerlos a tiro si estalla un combate en su zona.\nCon un enemigo al que ya se han enganchado, pelean hasta el final. No vuelven a su sitio a dar vueltas.	L'<b>avant</b> se place devant et encaisse directement les ennemis.\nLe <b>milieu</b> reste un peu en retrait et soutient la première ligne.\nL'<b>arrière</b> combat à la limite de sa portée. Cela convient aux rôles à distance et de soins.\nLe milieu et l'arrière s'approchent aussi jusqu'à portée si un combat éclate dans leur secteur.\nUne fois engagés avec un ennemi, ils vont jusqu'au bout. Ils ne retournent pas tourner en rond à leur place.	Die <b>Vorderste</b> stellt sich nach vorn und fängt die Feinde unmittelbar ab.\nDie <b>Mitte</b> bleibt etwas zurück und stützt die vorderste Reihe.\nDie <b>Hintere</b> kämpft am Rand ihrer Reichweite. Das passt zu Fernkampf- und Heilerrollen.\nAuch Mitte und Hintere rücken bis in Reichweite vor, wenn in ihrem Bereich ein Kampf ausbricht.\nMit einem Feind, an dem sie einmal hängen, messen sie sich bis zuletzt. Sie kehren nicht an ihren Platz zurück, um dort zu kreisen.	<b>前衛</b>は前に立って敵を直接受け止めます。\n<b>中衛</b>は少し後ろから前列を助けます。\n<b>後衛</b>は射程の端で戦います。遠距離と回復の役割に合います。\n中衛と後衛も、自分の区域で戦いが起きれば射程内までは近づきます。\n一度組み合った敵とは最後まで競り合います。元の場所に戻って回ることはありません。	<b>Передовая</b> встаёт впереди и принимает врагов на себя.\n<b>Центр</b> держится чуть позади и помогает первому ряду.\n<b>Тыл</b> сражается на пределе дальности. Это подходит ролям дальнего боя и исцеления.\nЦентр и тыл тоже подходят на дистанцию выстрела, если в их зоне завязался бой.\nС врагом, за которого уже зацепились, они бьются до конца. Не возвращаются на место, чтобы там кружить.	A <b>frente</b> põe-se à frente e encaixa os inimigos diretamente.\nO <b>meio</b> fica um pouco mais atrás e apoia a primeira linha.\nA <b>retaguarda</b> combate no limite do seu alcance. Adequa-se aos papéis à distância e de cura.\nO meio e a retaguarda também se aproximam até ao alcance se rebentar um combate na sua zona.\nCom um inimigo em que já se engancharam, lutam até ao fim. Não voltam ao seu lugar para andar às voltas.	<b>Przód</b> staje na czele i przyjmuje wrogów wprost na siebie.\n<b>Środek</b> trzyma się nieco z tyłu i wspiera pierwszy szereg.\n<b>Tył</b> walczy na granicy swojego zasięgu. Pasuje to rolom dystansowym i leczącym.\nŚrodek i tył też podchodzą na zasięg, jeśli w ich rejonie wybuchnie walka.\nZ wrogiem, z którym już się zwarli, biją się do końca. Nie wracają na miejsce, by tam krążyć.
help_retreat_title	물러설 때	When to Retreat	Cuándo retirarse	Quand se replier	Wann man zurückweicht	退くとき	Когда отступать	Quando recuar	Kiedy się wycofać
help_retreat_summary	체력이 얼마나 남았을 때 물러날지 정할 수 있습니다.\n전술 지침 창에서 동료마다 따로 정합니다.	You can set how much health should remain before an ally retreats.\nThis is set individually for each ally in the Tactics window.	Puedes decidir con cuánta salud restante se retirará un aliado.\nSe fija por separado para cada aliado en la ventana de directivas tácticas.	Vous pouvez décider à quelle santé restante un allié se repliera.\nCela se règle séparément pour chaque allié dans la fenêtre des directives tactiques.	Du kannst festlegen, bei welchem verbliebenen Leben ein Verbündeter zurückweicht.\nDas wird im Fenster der taktischen Direktiven für jeden einzeln eingestellt.	体力がどれだけ残ったときに退くかを決められます。\n戦術指針の窓で、仲間ごとに別々に決めます。	Можно задать, при каком остатке здоровья союзник отойдёт.\nЭто задаётся отдельно для каждого в окне тактических директив.	Podes decidir com quanta vida restante um aliado recuará.\nFixa-se separadamente para cada aliado na janela de diretrizes táticas.	Możesz ustalić, przy jakim pozostałym zdrowiu sojusznik się wycofa.\nUstawia się to osobno dla każdego w oknie dyrektyw taktycznych.
help_retreat_body	후퇴 기준을 60으로 두면 체력이 그만큼 남았을 때 스스로 물러납니다.\n너무 높이 잡으면 조금만 맞아도 물러나 전선이 자꾸 무너집니다. 너무 낮게 잡으면 물러나기 전에 죽습니다.\n앞줄은 낮게, 뒷줄은 높게. 그게 무난한 시작입니다.\n물러난 동료는 회복 역할이 가까이 있으면 치료를 받습니다.	Setting the Retreat Threshold to 60 means the ally retreats on their own once their health drops to that level.\nSet it too high and they'll retreat from even minor hits, constantly collapsing the front line. Set it too low and they'll die before they can retreat.\nA solid starting point: low thresholds for the front line, high thresholds for the back line.\nA retreated ally will be treated if a Healer is nearby.	Si pones el umbral de retirada en 60, se retirará por su cuenta cuando le quede esa salud.\nSi lo pones demasiado alto, se retira al menor golpe y la línea se te viene abajo una y otra vez. Si lo pones demasiado bajo, muere antes de retirarse.\nBajo en la primera línea, alto en la última. Ese es un comienzo razonable.\nUn aliado retirado recibe cuidados si hay un papel de curación cerca.	Si vous fixez le seuil de retraite à 60, il se repliera de lui-même quand il lui restera cette santé.\nTrop haut, il se replie au moindre coup et votre ligne s'effondre sans cesse. Trop bas, il meurt avant d'avoir pu se replier.\nBas pour la première ligne, haut pour la dernière. C'est un point de départ raisonnable.\nUn allié replié est soigné si un rôle de soins se trouve à proximité.	Setzt du die Rückzugsschwelle auf 60, weicht er von selbst zurück, wenn ihm so viel Leben bleibt.\nZu hoch angesetzt, weicht er beim kleinsten Treffer zurück und deine Linie bricht ständig ein. Zu niedrig angesetzt, stirbt er, ehe er zurückweichen kann.\nVorne niedrig, hinten hoch. Das ist ein vernünftiger Anfang.\nEin zurückgewichener Verbündeter wird versorgt, wenn eine Heilerrolle in der Nähe ist.	後退基準を 60 にしておけば、体力がそれだけ残ったときに自分から退きます。\n高く取りすぎると、少し当たっただけで退いて前線がしきりに崩れます。低く取りすぎると、退く前に死にます。\n前列は低く、後列は高く。それが無難な始め方です。\n退いた仲間は、回復の役割が近くにいれば治療を受けます。	Если поставить порог отступления на 60, он отойдёт сам, когда у него останется столько здоровья.\nПоставишь слишком высоко — отходит от малейшего удара, и линия постоянно рушится. Поставишь слишком низко — погибнет, не успев отойти.\nПередним ряд — пониже, задним — повыше. Это разумное начало.\nОтошедший союзник получает лечение, если поблизости есть роль исцеления.	Se puseres o limiar de retirada em 60, recuará sozinho quando lhe restar essa vida.\nSe o puseres demasiado alto, recua ao mínimo golpe e a linha desmorona-se vezes sem conta. Se o puseres demasiado baixo, morre antes de recuar.\nBaixo na primeira linha, alto na última. É um começo sensato.\nUm aliado que recuou recebe tratamento se houver um papel de cura por perto.	Jeśli ustawisz próg odwrotu na 60, wycofa się sam, gdy zostanie mu tyle zdrowia.\nUstawisz za wysoko — wycofuje się po najmniejszym ciosie i linia wciąż się sypie. Ustawisz za nisko — zginie, nim zdąży się wycofać.\nPrzedni szereg nisko, tylny wysoko. To rozsądny początek.\nWycofany sojusznik dostaje opiekę, jeśli w pobliżu jest rola leczenia.
help_mental_error_title	무너진 정신	A Broken Mind	Una mente quebrada	Un esprit brisé	Ein zerbrochener Geist	崩れた精神	Надломленный рассудок	Uma mente quebrada	Złamany umysł
